gene_symbol	source	source_group	label_type	priority_axis	is_positive	is_validation_source	notes
ADRA1A	chembl_clinical	drug	database_evidence	clinical	1	1	
ADRA1B	chembl_clinical	drug	database_evidence	clinical	1	1	
ADRA1D	chembl_clinical	drug	database_evidence	clinical	1	1	
ADRA2A	chembl_clinical	drug	database_evidence	clinical	1	1	
ADRA2B	chembl_clinical	drug	database_evidence	clinical	1	1	
ADRA2C	chembl_clinical	drug	database_evidence	clinical	1	1	
ADRB1	chembl_clinical	drug	database_evidence	clinical	1	1	
ADRB2	chembl_clinical	drug	database_evidence	clinical	1	1	
ADRB3	chembl_clinical	drug	database_evidence	clinical	1	1	
ADRM1	chembl_clinical	drug	database_evidence	clinical	1	1	
AFP	chembl_clinical	drug	database_evidence	clinical	1	1	
AGER	chembl_clinical	drug	database_evidence	clinical	1	1	
AGT	chembl_clinical	drug	database_evidence	clinical	1	1	
AGTR1	chembl_clinical	drug	database_evidence	clinical	1	1	
AGTR1B	chembl_clinical	drug	database_evidence	clinical	1	1	
AGTR2	chembl_clinical	drug	database_evidence	clinical	1	1	
AHR	chembl_clinical	drug	database_evidence	clinical	1	1	
AIM1	chembl_clinical	drug	database_evidence	clinical	1	1	
AKR1B1	chembl_clinical	drug	database_evidence	clinical	1	1	
AKT1	chembl_clinical	drug	database_evidence	clinical	1	1	
AKT2	chembl_clinical	drug	database_evidence	clinical	1	1	
AKT3	chembl_clinical	drug	database_evidence	clinical	1	1	
ALCAM	chembl_clinical	drug	database_evidence	clinical	1	1	
ALDH2	chembl_clinical	drug	database_evidence	clinical	1	1	
ALDH5A1	chembl_clinical	drug	database_evidence	clinical	1	1	
ALK	chembl_clinical	drug	database_evidence	clinical	1	1	
ALOX12	chembl_clinical	drug	database_evidence	clinical	1	1	
ALOX5	chembl_clinical	drug	database_evidence	clinical	1	1	
ALOX5AP	chembl_clinical	drug	database_evidence	clinical	1	1	
ALR	chembl_clinical	drug	database_evidence	clinical	1	1	
AMPC	chembl_clinical	drug	database_evidence	clinical	1	1	
AMY2A	chembl_clinical	drug	database_evidence	clinical	1	1	
ANGIOPOIETIN-1	chembl_clinical	drug	database_evidence	clinical	1	1	
ANGIOPOIETIN-2	chembl_clinical	drug	database_evidence	clinical	1	1	
ANGPT1	chembl_clinical	drug	database_evidence	clinical	1	1	
ANGPT2	chembl_clinical	drug	database_evidence	clinical	1	1	
ANGPTL3	chembl_clinical	drug	database_evidence	clinical	1	1	
ANO1	chembl_clinical	drug	database_evidence	clinical	1	1	
ANPEP	chembl_clinical	drug	database_evidence	clinical	1	1	
AOC1	chembl_clinical	drug	database_evidence	clinical	1	1	
AOC3	chembl_clinical	drug	database_evidence	clinical	1	1	
AOPEP	chembl_clinical	drug	database_evidence	clinical	1	1	
APCS	chembl_clinical	drug	database_evidence	clinical	1	1	
APEX1	chembl_clinical	drug	database_evidence	clinical	1	1	
APH1A	chembl_clinical	drug	database_evidence	clinical	1	1	
APH1B	chembl_clinical	drug	database_evidence	clinical	1	1	
APLNR	chembl_clinical	drug	database_evidence	clinical	1	1	
APP	chembl_clinical	drug	database_evidence	clinical	1	1	
AR	chembl_clinical	drug	database_evidence	clinical	1	1	
ARAF	chembl_clinical	drug	database_evidence	clinical	1	1	
AROMATASE	chembl_clinical	drug	database_evidence	clinical	1	1	
ASGR1	chembl_clinical	drug	database_evidence	clinical	1	1	
ATP1A1	chembl_clinical	drug	database_evidence	clinical	1	1	
ATP1A2	chembl_clinical	drug	database_evidence	clinical	1	1	
ATP1A3	chembl_clinical	drug	database_evidence	clinical	1	1	
ATP1A4	chembl_clinical	drug	database_evidence	clinical	1	1	
ATP1B1	chembl_clinical	drug	database_evidence	clinical	1	1	
ATP1B2	chembl_clinical	drug	database_evidence	clinical	1	1	
ATP1B3	chembl_clinical	drug	database_evidence	clinical	1	1	
ATP2A1	chembl_clinical	drug	database_evidence	clinical	1	1	
ATP2A2	chembl_clinical	drug	database_evidence	clinical	1	1	
ATP2A3	chembl_clinical	drug	database_evidence	clinical	1	1	
ATP4A	chembl_clinical	drug	database_evidence	clinical	1	1	
ATP4B	chembl_clinical	drug	database_evidence	clinical	1	1	
ATPA	chembl_clinical	drug	database_evidence	clinical	1	1	
ATPB	chembl_clinical	drug	database_evidence	clinical	1	1	
ATPC	chembl_clinical	drug	database_evidence	clinical	1	1	
ATPD	chembl_clinical	drug	database_evidence	clinical	1	1	
ATPE	chembl_clinical	drug	database_evidence	clinical	1	1	
ATPF	chembl_clinical	drug	database_evidence	clinical	1	1	
ATPFH	chembl_clinical	drug	database_evidence	clinical	1	1	
ATPG	chembl_clinical	drug	database_evidence	clinical	1	1	
ATR	chembl_clinical	drug	database_evidence	clinical	1	1	
AURKA	chembl_clinical	drug	database_evidence	clinical	1	1	
AURKB	chembl_clinical	drug	database_evidence	clinical	1	1	
AURKC	chembl_clinical	drug	database_evidence	clinical	1	1	
AVPR1A	chembl_clinical	drug	database_evidence	clinical	1	1	
AVPR1B	chembl_clinical	drug	database_evidence	clinical	1	1	
AVPR2	chembl_clinical	drug	database_evidence	clinical	1	1	
AXL	chembl_clinical	drug	database_evidence	clinical	1	1	
BACE1	chembl_clinical	drug	database_evidence	clinical	1	1	
BASIGIN	chembl_clinical	drug	database_evidence	clinical	1	1	
BCHE	chembl_clinical	drug	database_evidence	clinical	1	1	
BCL1	chembl_clinical	drug	database_evidence	clinical	1	1	
BCL11A	chembl_clinical	drug	database_evidence	clinical	1	1	
BCL2	chembl_clinical	drug	database_evidence	clinical	1	1	
BCL2A1	chembl_clinical	drug	database_evidence	clinical	1	1	
BCL2L1	chembl_clinical	drug	database_evidence	clinical	1	1	
BCL2L10	chembl_clinical	drug	database_evidence	clinical	1	1	
BCL2L2	chembl_clinical	drug	database_evidence	clinical	1	1	
BCR	chembl_clinical	drug	database_evidence	clinical	1	1	
BDKRB1	chembl_clinical	drug	database_evidence	clinical	1	1	
BDKRB2	chembl_clinical	drug	database_evidence	clinical	1	1	
BETA-CATENIN	chembl_clinical	drug	database_evidence	clinical	1	1	
BETA-KLOTHO	chembl_clinical	drug	database_evidence	clinical	1	1	
BHMT	chembl_clinical	drug	database_evidence	clinical	1	1	
BHMT2	chembl_clinical	drug	database_evidence	clinical	1	1	
BIRC2	chembl_clinical	drug	database_evidence	clinical	1	1	
BIRC3	chembl_clinical	drug	database_evidence	clinical	1	1	
BIRC5	chembl_clinical	drug	database_evidence	clinical	1	1	
BLA	chembl_clinical	drug	database_evidence	clinical	1	1	
BLACTX-M-15	chembl_clinical	drug	database_evidence	clinical	1	1	
BLAIMP-1	chembl_clinical	drug	database_evidence	clinical	1	1	
BLAT-3	chembl_clinical	drug	database_evidence	clinical	1	1	
BLAT-4	chembl_clinical	drug	database_evidence	clinical	1	1	
BLAT-5	chembl_clinical	drug	database_evidence	clinical	1	1	
BLAT-6	chembl_clinical	drug	database_evidence	clinical	1	1	
BLAUOE-1	chembl_clinical	drug	database_evidence	clinical	1	1	
BLK	chembl_clinical	drug	database_evidence	clinical	1	1	
BMP10	chembl_clinical	drug	database_evidence	clinical	1	1	
BMPR1A	chembl_clinical	drug	database_evidence	clinical	1	1	
BMPR1B	chembl_clinical	drug	database_evidence	clinical	1	1	
BMPR2	chembl_clinical	drug	database_evidence	clinical	1	1	
BMX	chembl_clinical	drug	database_evidence	clinical	1	1	
BOTA	chembl_clinical	drug	database_evidence	clinical	1	1	
BRAF	chembl_clinical	drug	database_evidence	clinical	1	1	
BRD2	chembl_clinical	drug	database_evidence	clinical	1	1	
BRD3	chembl_clinical	drug	database_evidence	clinical	1	1	
BRD4	chembl_clinical	drug	database_evidence	clinical	1	1	
BRDT	chembl_clinical	drug	database_evidence	clinical	1	1	
BSG	chembl_clinical	drug	database_evidence	clinical	1	1	
BTK	chembl_clinical	drug	database_evidence	clinical	1	1	
C1S	chembl_clinical	drug	database_evidence	clinical	1	1	
C3	chembl_clinical	drug	database_evidence	clinical	1	1	
C5	chembl_clinical	drug	database_evidence	clinical	1	1	
C5AR1	chembl_clinical	drug	database_evidence	clinical	1	1	
C5ORF23	chembl_clinical	drug	database_evidence	clinical	1	1	
C9ORF3	chembl_clinical	drug	database_evidence	clinical	1	1	
CA1	chembl_clinical	drug	database_evidence	clinical	1	1	
CA12	chembl_clinical	drug	database_evidence	clinical	1	1	
CA13	chembl_clinical	drug	database_evidence	clinical	1	1	
CA14	chembl_clinical	drug	database_evidence	clinical	1	1	
CA2	chembl_clinical	drug	database_evidence	clinical	1	1	
CA3	chembl_clinical	drug	database_evidence	clinical	1	1	
CA4	chembl_clinical	drug	database_evidence	clinical	1	1	
CA5A	chembl_clinical	drug	database_evidence	clinical	1	1	
CA5B	chembl_clinical	drug	database_evidence	clinical	1	1	
CA6	chembl_clinical	drug	database_evidence	clinical	1	1	
CA7	chembl_clinical	drug	database_evidence	clinical	1	1	
CA9	chembl_clinical	drug	database_evidence	clinical	1	1	
CACNA1A	chembl_clinical	drug	database_evidence	clinical	1	1	
CACNA1B	chembl_clinical	drug	database_evidence	clinical	1	1	
CACNA1C	chembl_clinical	drug	database_evidence	clinical	1	1	
CACNA1D	chembl_clinical	drug	database_evidence	clinical	1	1	
CACNA1E	chembl_clinical	drug	database_evidence	clinical	1	1	
CACNA1F	chembl_clinical	drug	database_evidence	clinical	1	1	
CACNA1G	chembl_clinical	drug	database_evidence	clinical	1	1	
CACNA1H	chembl_clinical	drug	database_evidence	clinical	1	1	
CACNA1I	chembl_clinical	drug	database_evidence	clinical	1	1	
CACNA1S	chembl_clinical	drug	database_evidence	clinical	1	1	
CACNA2D1	chembl_clinical	drug	database_evidence	clinical	1	1	
CACNA2D2	chembl_clinical	drug	database_evidence	clinical	1	1	
CACNA2D3	chembl_clinical	drug	database_evidence	clinical	1	1	
CACNA2D4	chembl_clinical	drug	database_evidence	clinical	1	1	
CACNB1	chembl_clinical	drug	database_evidence	clinical	1	1	
CACNB2	chembl_clinical	drug	database_evidence	clinical	1	1	
CACNB3	chembl_clinical	drug	database_evidence	clinical	1	1	
CACNB4	chembl_clinical	drug	database_evidence	clinical	1	1	
CACNG1	chembl_clinical	drug	database_evidence	clinical	1	1	
CACNG2	chembl_clinical	drug	database_evidence	clinical	1	1	
CACNG3	chembl_clinical	drug	database_evidence	clinical	1	1	
CACNG4	chembl_clinical	drug	database_evidence	clinical	1	1	
CACNG5	chembl_clinical	drug	database_evidence	clinical	1	1	
CACNG6	chembl_clinical	drug	database_evidence	clinical	1	1	
CACNG7	chembl_clinical	drug	database_evidence	clinical	1	1	
CACNG8	chembl_clinical	drug	database_evidence	clinical	1	1	
CALCA	chembl_clinical	drug	database_evidence	clinical	1	1	
CALCB	chembl_clinical	drug	database_evidence	clinical	1	1	
CALCR	chembl_clinical	drug	database_evidence	clinical	1	1	
CALCRL	chembl_clinical	drug	database_evidence	clinical	1	1	
CALM1	chembl_clinical	drug	database_evidence	clinical	1	1	
CASP1	chembl_clinical	drug	database_evidence	clinical	1	1	
CASP10	chembl_clinical	drug	database_evidence	clinical	1	1	
CASP12	chembl_clinical	drug	database_evidence	clinical	1	1	
CASP14	chembl_clinical	drug	database_evidence	clinical	1	1	
CASP2	chembl_clinical	drug	database_evidence	clinical	1	1	
CASP3	chembl_clinical	drug	database_evidence	clinical	1	1	
CASP4	chembl_clinical	drug	database_evidence	clinical	1	1	
CASP5	chembl_clinical	drug	database_evidence	clinical	1	1	
CASP6	chembl_clinical	drug	database_evidence	clinical	1	1	
CASP7	chembl_clinical	drug	database_evidence	clinical	1	1	
CASP8	chembl_clinical	drug	database_evidence	clinical	1	1	
CASP9	chembl_clinical	drug	database_evidence	clinical	1	1	
CASPASE-1	chembl_clinical	drug	database_evidence	clinical	1	1	
CASPASE-3	chembl_clinical	drug	database_evidence	clinical	1	1	
CASPASE-7	chembl_clinical	drug	database_evidence	clinical	1	1	
CASPASE-9	chembl_clinical	drug	database_evidence	clinical	1	1	
CASR	chembl_clinical	drug	database_evidence	clinical	1	1	
CCDC6	chembl_clinical	drug	database_evidence	clinical	1	1	
CCKAR	chembl_clinical	drug	database_evidence	clinical	1	1	
CCKBR	chembl_clinical	drug	database_evidence	clinical	1	1	
CCL11	chembl_clinical	drug	database_evidence	clinical	1	1	
CCL2	chembl_clinical	drug	database_evidence	clinical	1	1	
CCN2	chembl_clinical	drug	database_evidence	clinical	1	1	
CCND1	chembl_clinical	drug	database_evidence	clinical	1	1	
CCR1	chembl_clinical	drug	database_evidence	clinical	1	1	
CCR2	chembl_clinical	drug	database_evidence	clinical	1	1	
CCR4	chembl_clinical	drug	database_evidence	clinical	1	1	
CCR5	chembl_clinical	drug	database_evidence	clinical	1	1	
CCR9	chembl_clinical	drug	database_evidence	clinical	1	1	
CD14	chembl_clinical	drug	database_evidence	clinical	1	1	
CD19	chembl_clinical	drug	database_evidence	clinical	1	1	
CD2	chembl_clinical	drug	database_evidence	clinical	1	1	
CD200	chembl_clinical	drug	database_evidence	clinical	1	1	
CD22	chembl_clinical	drug	database_evidence	clinical	1	1	
CD248	chembl_clinical	drug	database_evidence	clinical	1	1	
CD27	chembl_clinical	drug	database_evidence	clinical	1	1	
CD274	chembl_clinical	drug	database_evidence	clinical	1	1	
CD276	chembl_clinical	drug	database_evidence	clinical	1	1	
CD28	chembl_clinical	drug	database_evidence	clinical	1	1	
CD33	chembl_clinical	drug	database_evidence	clinical	1	1	
CD37	chembl_clinical	drug	database_evidence	clinical	1	1	
CD38	chembl_clinical	drug	database_evidence	clinical	1	1	
CD3D	chembl_clinical	drug	database_evidence	clinical	1	1	
CD3E	chembl_clinical	drug	database_evidence	clinical	1	1	
CD3G	chembl_clinical	drug	database_evidence	clinical	1	1	
CD4	chembl_clinical	drug	database_evidence	clinical	1	1	
CD40	chembl_clinical	drug	database_evidence	clinical	1	1	
CD40LG	chembl_clinical	drug	database_evidence	clinical	1	1	
CD44	chembl_clinical	drug	database_evidence	clinical	1	1	
CD47	chembl_clinical	drug	database_evidence	clinical	1	1	
CD5	chembl_clinical	drug	database_evidence	clinical	1	1	
CD52	chembl_clinical	drug	database_evidence	clinical	1	1	
CD6	chembl_clinical	drug	database_evidence	clinical	1	1	
CD70	chembl_clinical	drug	database_evidence	clinical	1	1	
CD74	chembl_clinical	drug	database_evidence	clinical	1	1	
CD79B	chembl_clinical	drug	database_evidence	clinical	1	1	
CD80	chembl_clinical	drug	database_evidence	clinical	1	1	
CD86	chembl_clinical	drug	database_evidence	clinical	1	1	
CDA	chembl_clinical	drug	database_evidence	clinical	1	1	
CDC7	chembl_clinical	drug	database_evidence	clinical	1	1	
CDH3	chembl_clinical	drug	database_evidence	clinical	1	1	
CDK1	chembl_clinical	drug	database_evidence	clinical	1	1	
CDK10	chembl_clinical	drug	database_evidence	clinical	1	1	
CDK11B	chembl_clinical	drug	database_evidence	clinical	1	1	
CDK12	chembl_clinical	drug	database_evidence	clinical	1	1	
CDK13	chembl_clinical	drug	database_evidence	clinical	1	1	
CDK14	chembl_clinical	drug	database_evidence	clinical	1	1	
CDK15	chembl_clinical	drug	database_evidence	clinical	1	1	
CDK16	chembl_clinical	drug	database_evidence	clinical	1	1	
CDK17	chembl_clinical	drug	database_evidence	clinical	1	1	
CDK18	chembl_clinical	drug	database_evidence	clinical	1	1	
CDK19	chembl_clinical	drug	database_evidence	clinical	1	1	
CDK2	chembl_clinical	drug	database_evidence	clinical	1	1	
CDK20	chembl_clinical	drug	database_evidence	clinical	1	1	
CDK3	chembl_clinical	drug	database_evidence	clinical	1	1	
CDK4	chembl_clinical	drug	database_evidence	clinical	1	1	
CDK5	chembl_clinical	drug	database_evidence	clinical	1	1	
CDK6	chembl_clinical	drug	database_evidence	clinical	1	1	
CDK7	chembl_clinical	drug	database_evidence	clinical	1	1	
CDK8	chembl_clinical	drug	database_evidence	clinical	1	1	
CDK9	chembl_clinical	drug	database_evidence	clinical	1	1	
CDKN3	chembl_clinical	drug	database_evidence	clinical	1	1	
CDS1	chembl_clinical	drug	database_evidence	clinical	1	1	
CEACAM5	chembl_clinical	drug	database_evidence	clinical	1	1	
CETP	chembl_clinical	drug	database_evidence	clinical	1	1	
CFB	chembl_clinical	drug	database_evidence	clinical	1	1	
CFD	chembl_clinical	drug	database_evidence	clinical	1	1	
CFTR	chembl_clinical	drug	database_evidence	clinical	1	1	
CHEK1	chembl_clinical	drug	database_evidence	clinical	1	1	
CHEK2	chembl_clinical	drug	database_evidence	clinical	1	1	
CHKA	chembl_clinical	drug	database_evidence	clinical	1	1	
CHOLINESTERASE	chembl_clinical	drug	database_evidence	clinical	1	1	
CHRM1	chembl_clinical	drug	database_evidence	clinical	1	1	
CHRM2	chembl_clinical	drug	database_evidence	clinical	1	1	
CHRM3	chembl_clinical	drug	database_evidence	clinical	1	1	
CHRM4	chembl_clinical	drug	database_evidence	clinical	1	1	
CHRM5	chembl_clinical	drug	database_evidence	clinical	1	1	
CHRNA1	chembl_clinical	drug	database_evidence	clinical	1	1	
CHRNA10	chembl_clinical	drug	database_evidence	clinical	1	1	
CHRNA3	chembl_clinical	drug	database_evidence	clinical	1	1	
CHRNA4	chembl_clinical	drug	database_evidence	clinical	1	1	
CHRNA5	chembl_clinical	drug	database_evidence	clinical	1	1	
CHRNA6	chembl_clinical	drug	database_evidence	clinical	1	1	
CHRNA7	chembl_clinical	drug	database_evidence	clinical	1	1	
CHRNA9	chembl_clinical	drug	database_evidence	clinical	1	1	
CHRNB1	chembl_clinical	drug	database_evidence	clinical	1	1	
CHRNB2	chembl_clinical	drug	database_evidence	clinical	1	1	
CHRNB4	chembl_clinical	drug	database_evidence	clinical	1	1	
CHRND	chembl_clinical	drug	database_evidence	clinical	1	1	
CHRNE	chembl_clinical	drug	database_evidence	clinical	1	1	
CHRNG	chembl_clinical	drug	database_evidence	clinical	1	1	
CHYMASE	chembl_clinical	drug	database_evidence	clinical	1	1	
CLAUDIN-18	chembl_clinical	drug	database_evidence	clinical	1	1	
CLCN2	chembl_clinical	drug	database_evidence	clinical	1	1	
CLDN18	chembl_clinical	drug	database_evidence	clinical	1	1	
CLEC4C	chembl_clinical	drug	database_evidence	clinical	1	1	
CLFA	chembl_clinical	drug	database_evidence	clinical	1	1	
CLK2	chembl_clinical	drug	database_evidence	clinical	1	1	
CMA1	chembl_clinical	drug	database_evidence	clinical	1	1	
CNR1	chembl_clinical	drug	database_evidence	clinical	1	1	
CNR2	chembl_clinical	drug	database_evidence	clinical	1	1	
COL11A1	chembl_clinical	drug	database_evidence	clinical	1	1	
COL11A2	chembl_clinical	drug	database_evidence	clinical	1	1	
COL15A1	chembl_clinical	drug	database_evidence	clinical	1	1	
COL18A1	chembl_clinical	drug	database_evidence	clinical	1	1	
COL1A1	chembl_clinical	drug	database_evidence	clinical	1	1	
COL1A2	chembl_clinical	drug	database_evidence	clinical	1	1	
COL24A1	chembl_clinical	drug	database_evidence	clinical	1	1	
COL27A1	chembl_clinical	drug	database_evidence	clinical	1	1	
COL28A1	chembl_clinical	drug	database_evidence	clinical	1	1	
COL29A1	chembl_clinical	drug	database_evidence	clinical	1	1	
COL2A1	chembl_clinical	drug	database_evidence	clinical	1	1	
COL3A1	chembl_clinical	drug	database_evidence	clinical	1	1	
COL4A1	chembl_clinical	drug	database_evidence	clinical	1	1	
COL4A2	chembl_clinical	drug	database_evidence	clinical	1	1	
COL4A3	chembl_clinical	drug	database_evidence	clinical	1	1	
COL4A4	chembl_clinical	drug	database_evidence	clinical	1	1	
COL4A5	chembl_clinical	drug	database_evidence	clinical	1	1	
COL4A6	chembl_clinical	drug	database_evidence	clinical	1	1	
COL5A1	chembl_clinical	drug	database_evidence	clinical	1	1	
COL5A2	chembl_clinical	drug	database_evidence	clinical	1	1	
COL5A3	chembl_clinical	drug	database_evidence	clinical	1	1	
COL6A1	chembl_clinical	drug	database_evidence	clinical	1	1	
COL6A2	chembl_clinical	drug	database_evidence	clinical	1	1	
COL6A3	chembl_clinical	drug	database_evidence	clinical	1	1	
COL6A5	chembl_clinical	drug	database_evidence	clinical	1	1	
COL6A6	chembl_clinical	drug	database_evidence	clinical	1	1	
COL7A1	chembl_clinical	drug	database_evidence	clinical	1	1	
COMT	chembl_clinical	drug	database_evidence	clinical	1	1	
COX1	chembl_clinical	drug	database_evidence	clinical	1	1	
COX2	chembl_clinical	drug	database_evidence	clinical	1	1	
COXFA4	chembl_clinical	drug	database_evidence	clinical	1	1	
COXFA4L2	chembl_clinical	drug	database_evidence	clinical	1	1	
CPS1	chembl_clinical	drug	database_evidence	clinical	1	1	
CPSF3	chembl_clinical	drug	database_evidence	clinical	1	1	
CPT1B	chembl_clinical	drug	database_evidence	clinical	1	1	
CPT2	chembl_clinical	drug	database_evidence	clinical	1	1	
CR1	chembl_clinical	drug	database_evidence	clinical	1	1	
CRBN	chembl_clinical	drug	database_evidence	clinical	1	1	
CREBBP	chembl_clinical	drug	database_evidence	clinical	1	1	
CRHR1	chembl_clinical	drug	database_evidence	clinical	1	1	
CRIPTO	chembl_clinical	drug	database_evidence	clinical	1	1	
CSF1	chembl_clinical	drug	database_evidence	clinical	1	1	
CSF1R	chembl_clinical	drug	database_evidence	clinical	1	1	
CSF2	chembl_clinical	drug	database_evidence	clinical	1	1	
CSF2RA	chembl_clinical	drug	database_evidence	clinical	1	1	
CSF2RB	chembl_clinical	drug	database_evidence	clinical	1	1	
CSF3R	chembl_clinical	drug	database_evidence	clinical	1	1	
CSNK1E	chembl_clinical	drug	database_evidence	clinical	1	1	
CSNK2A1	chembl_clinical	drug	database_evidence	clinical	1	1	
CTAG1A	chembl_clinical	drug	database_evidence	clinical	1	1	
CTAG1B	chembl_clinical	drug	database_evidence	clinical	1	1	
CTLA-4	chembl_clinical	drug	database_evidence	clinical	1	1	
CTLA4	chembl_clinical	drug	database_evidence	clinical	1	1	
CTNNB1	chembl_clinical	drug	database_evidence	clinical	1	1	
CTSC	chembl_clinical	drug	database_evidence	clinical	1	1	
CTSK	chembl_clinical	drug	database_evidence	clinical	1	1	
CTSO	chembl_clinical	drug	database_evidence	clinical	1	1	
CTSS	chembl_clinical	drug	database_evidence	clinical	1	1	
CUL4A	chembl_clinical	drug	database_evidence	clinical	1	1	
CX3CL1	chembl_clinical	drug	database_evidence	clinical	1	1	
CXCL10	chembl_clinical	drug	database_evidence	clinical	1	1	
CXCL12	chembl_clinical	drug	database_evidence	clinical	1	1	
CXCL8	chembl_clinical	drug	database_evidence	clinical	1	1	
