gene_symbol	clinical_positive	discovery_positive	positive_source_count	clinical_sources	discovery_sources	heldout_eligible_sources
CACNG5	1	0	1	chembl_clinical		chembl_clinical
CACNG6	1	0	1	chembl_clinical		chembl_clinical
CACNG7	1	0	1	chembl_clinical		chembl_clinical
CACNG8	1	0	1	chembl_clinical		chembl_clinical
CALCA	1	0	1	chembl_clinical		chembl_clinical
CALCB	1	0	1	chembl_clinical		chembl_clinical
CALCR	1	0	1	chembl_clinical		chembl_clinical
CALCRL	1	0	1	chembl_clinical		chembl_clinical
CALM1	1	0	1	chembl_clinical		chembl_clinical
CALR	1	0	1	opentargets_high_evidence		opentargets_high_evidence
CAMTA1	1	0	1	opentargets_high_evidence		opentargets_high_evidence
CARD11	1	0	1	opentargets_high_evidence		opentargets_high_evidence
CARS1	1	0	1	opentargets_high_evidence		opentargets_high_evidence
CASP1	1	0	1	chembl_clinical		chembl_clinical
CASP10	1	0	1	chembl_clinical		chembl_clinical
CASP12	1	0	1	chembl_clinical		chembl_clinical
CASP14	1	0	1	chembl_clinical		chembl_clinical
CASP2	1	0	1	chembl_clinical		chembl_clinical
CASP3	1	0	1	chembl_clinical		chembl_clinical
CASP4	1	0	1	chembl_clinical		chembl_clinical
CASP5	1	0	1	chembl_clinical		chembl_clinical
CASP6	1	0	1	chembl_clinical		chembl_clinical
CASP7	1	0	1	chembl_clinical		chembl_clinical
CASP8	1	0	2	chembl_clinical;opentargets_high_evidence		chembl_clinical;opentargets_high_evidence
CASP9	1	0	1	chembl_clinical		chembl_clinical
CASPASE-1	1	0	1	chembl_clinical		chembl_clinical
CASPASE-3	1	0	1	chembl_clinical		chembl_clinical
CASPASE-7	1	0	1	chembl_clinical		chembl_clinical
CASPASE-9	1	0	1	chembl_clinical		chembl_clinical
CASR	1	0	1	chembl_clinical		chembl_clinical
CBFA2T3	1	0	1	opentargets_high_evidence		opentargets_high_evidence
CBFB	1	0	1	opentargets_high_evidence		opentargets_high_evidence
CBL	1	0	1	opentargets_high_evidence		opentargets_high_evidence
CBLB	1	0	1	opentargets_high_evidence		opentargets_high_evidence
CCDC6	1	0	2	chembl_clinical;opentargets_high_evidence		chembl_clinical;opentargets_high_evidence
CCKAR	1	0	1	chembl_clinical		chembl_clinical
CCKBR	1	0	1	chembl_clinical		chembl_clinical
CCL11	1	0	1	chembl_clinical		chembl_clinical
CCL2	1	0	1	chembl_clinical		chembl_clinical
CCN2	1	0	1	chembl_clinical		chembl_clinical
CCND1	1	0	2	chembl_clinical;opentargets_high_evidence		chembl_clinical;opentargets_high_evidence
CCND2	1	0	1	opentargets_high_evidence		opentargets_high_evidence
CCND3	1	0	1	opentargets_high_evidence		opentargets_high_evidence
CCR1	1	0	1	chembl_clinical		chembl_clinical
CCR2	1	0	1	chembl_clinical		chembl_clinical
CCR4	1	0	1	chembl_clinical		chembl_clinical
CCR5	1	0	1	chembl_clinical		chembl_clinical
CCR9	1	0	1	chembl_clinical		chembl_clinical
CD14	1	0	1	chembl_clinical		chembl_clinical
CD19	1	1	2	chembl_clinical	article_context_literature:guo2025	article_context_literature:guo2025;chembl_clinical
CD2	1	0	1	chembl_clinical		chembl_clinical
CD200	1	0	1	chembl_clinical		chembl_clinical
CD22	1	0	1	chembl_clinical		chembl_clinical
CD248	1	0	1	chembl_clinical		chembl_clinical
CD27	1	0	1	chembl_clinical		chembl_clinical
CD274	1	0	2	chembl_clinical;opentargets_high_evidence		chembl_clinical;opentargets_high_evidence
CD276	1	0	1	chembl_clinical		chembl_clinical
CD28	1	0	1	chembl_clinical		chembl_clinical
CD33	1	0	1	chembl_clinical		chembl_clinical
CD37	1	0	1	chembl_clinical		chembl_clinical
CD38	1	0	1	chembl_clinical		chembl_clinical
CD3D	1	0	1	chembl_clinical		chembl_clinical
CD3E	1	0	1	chembl_clinical		chembl_clinical
CD3G	1	0	1	chembl_clinical		chembl_clinical
CD4	1	0	1	chembl_clinical		chembl_clinical
CD40	1	0	1	chembl_clinical		chembl_clinical
CD40LG	1	0	1	chembl_clinical		chembl_clinical
CD44	1	0	1	chembl_clinical		chembl_clinical
CD47	1	0	1	chembl_clinical		chembl_clinical
CD5	1	0	1	chembl_clinical		chembl_clinical
CD52	1	0	1	chembl_clinical		chembl_clinical
CD6	1	0	1	chembl_clinical		chembl_clinical
CD70	1	0	1	chembl_clinical		chembl_clinical
CD74	1	0	2	chembl_clinical;opentargets_high_evidence		chembl_clinical;opentargets_high_evidence
CD79B	1	0	1	chembl_clinical		chembl_clinical
CD80	1	0	1	chembl_clinical		chembl_clinical
CD86	1	0	1	chembl_clinical		chembl_clinical
CDA	1	0	1	chembl_clinical		chembl_clinical
CDC7	1	0	1	chembl_clinical		chembl_clinical
CDC73	1	0	1	opentargets_high_evidence		opentargets_high_evidence
CDH1	1	0	1	opentargets_high_evidence		opentargets_high_evidence
CDH11	1	0	1	opentargets_high_evidence		opentargets_high_evidence
CDH3	1	0	1	chembl_clinical		chembl_clinical
CDK1	1	1	2	chembl_clinical	curated_literature:Savage2024	chembl_clinical;curated_literature:Savage2024
CDK10	1	0	1	chembl_clinical		chembl_clinical
CDK11B	1	0	1	chembl_clinical		chembl_clinical
CDK12	1	0	2	chembl_clinical;opentargets_high_evidence		chembl_clinical;opentargets_high_evidence
CDK13	1	0	1	chembl_clinical		chembl_clinical
CDK14	1	0	1	chembl_clinical		chembl_clinical
CDK15	1	0	1	chembl_clinical		chembl_clinical
CDK16	1	0	1	chembl_clinical		chembl_clinical
CDK17	1	0	1	chembl_clinical		chembl_clinical
CDK18	1	0	1	chembl_clinical		chembl_clinical
CDK19	1	0	1	chembl_clinical		chembl_clinical
CDK2	1	1	2	chembl_clinical	curated_literature:Savage2024	chembl_clinical;curated_literature:Savage2024
CDK20	1	0	1	chembl_clinical		chembl_clinical
CDK3	1	0	1	chembl_clinical		chembl_clinical
CDK4	1	1	3	chembl_clinical;opentargets_high_evidence	article_context_literature:nwosu2025	article_context_literature:nwosu2025;chembl_clinical;opentargets_high_evidence
CDK5	1	0	1	chembl_clinical		chembl_clinical
CDK6	1	0	2	chembl_clinical;opentargets_high_evidence		chembl_clinical;opentargets_high_evidence
CDK7	1	0	1	chembl_clinical		chembl_clinical
CDK8	1	0	1	chembl_clinical		chembl_clinical
CDK9	1	1	2	chembl_clinical	article_context_literature:savage2024	article_context_literature:savage2024;chembl_clinical
CDKN2A	1	1	3	opentargets_high_evidence	curated_literature:OpenTargets2025;known_pdac_driver	curated_literature:OpenTargets2025;known_pdac_driver;opentargets_high_evidence
CDKN3	1	0	1	chembl_clinical		chembl_clinical
CDS1	1	0	1	chembl_clinical		chembl_clinical
CDS2	0	1	2		article_context_literature:guo2025;curated_literature:Guo2025	article_context_literature:guo2025;curated_literature:Guo2025
CDX2	1	0	1	opentargets_high_evidence		opentargets_high_evidence
CEACAM5	1	1	3	chembl_clinical	curated_literature:Guo2025;curated_literature:Nwosu2025	chembl_clinical;curated_literature:Guo2025;curated_literature:Nwosu2025
CEACAM6	0	1	2		curated_literature:Guo2025;curated_literature:Nwosu2025	curated_literature:Guo2025;curated_literature:Nwosu2025
CETP	1	0	1	chembl_clinical		chembl_clinical
CFB	1	0	1	chembl_clinical		chembl_clinical
CFD	1	0	1	chembl_clinical		chembl_clinical
CFLAR	0	1	1		article_context_literature:guo2025	article_context_literature:guo2025
CFTR	1	0	1	chembl_clinical		chembl_clinical
CHD4	1	0	1	opentargets_high_evidence		opentargets_high_evidence
CHEK1	1	1	2	chembl_clinical	known_dependency	chembl_clinical;known_dependency
CHEK2	1	1	3	chembl_clinical;opentargets_high_evidence	known_dependency	chembl_clinical;known_dependency;opentargets_high_evidence
CHKA	1	0	1	chembl_clinical		chembl_clinical
CHOLINESTERASE	1	0	1	chembl_clinical		chembl_clinical
CHRM1	1	0	1	chembl_clinical		chembl_clinical
CHRM2	1	0	1	chembl_clinical		chembl_clinical
CHRM3	1	0	1	chembl_clinical		chembl_clinical
CHRM4	1	0	1	chembl_clinical		chembl_clinical
CHRM5	1	0	1	chembl_clinical		chembl_clinical
CHRNA1	1	0	1	chembl_clinical		chembl_clinical
CHRNA10	1	0	1	chembl_clinical		chembl_clinical
CHRNA3	1	0	1	chembl_clinical		chembl_clinical
CHRNA4	1	0	1	chembl_clinical		chembl_clinical
CHRNA5	1	0	1	chembl_clinical		chembl_clinical
CHRNA6	1	0	1	chembl_clinical		chembl_clinical
CHRNA7	1	0	1	chembl_clinical		chembl_clinical
CHRNA9	1	0	1	chembl_clinical		chembl_clinical
CHRNB1	1	0	1	chembl_clinical		chembl_clinical
CHRNB2	1	0	1	chembl_clinical		chembl_clinical
CHRNB4	1	0	1	chembl_clinical		chembl_clinical
CHRND	1	0	1	chembl_clinical		chembl_clinical
CHRNE	1	0	1	chembl_clinical		chembl_clinical
CHRNG	1	0	1	chembl_clinical		chembl_clinical
CHYMASE	1	0	1	chembl_clinical		chembl_clinical
CIC	1	0	1	opentargets_high_evidence		opentargets_high_evidence
CLAUDIN-18	1	0	1	chembl_clinical		chembl_clinical
CLCN2	1	0	1	chembl_clinical		chembl_clinical
CLDN18	1	1	2	chembl_clinical	curated_literature:Guo2025	chembl_clinical;curated_literature:Guo2025
CLEC4C	1	0	1	chembl_clinical		chembl_clinical
CLFA	1	0	1	chembl_clinical		chembl_clinical
CLK2	1	0	1	chembl_clinical		chembl_clinical
CLTCL1	1	0	1	opentargets_high_evidence		opentargets_high_evidence
CMA1	1	0	1	chembl_clinical		chembl_clinical
CNOT3	1	0	1	opentargets_high_evidence		opentargets_high_evidence
CNR1	1	0	1	chembl_clinical		chembl_clinical
CNR2	1	0	1	chembl_clinical		chembl_clinical
COL10A1	0	1	1		curated_literature:Nwosu2025	curated_literature:Nwosu2025
COL11A1	1	0	1	chembl_clinical		chembl_clinical
COL11A2	1	0	1	chembl_clinical		chembl_clinical
COL15A1	1	0	1	chembl_clinical		chembl_clinical
COL18A1	1	0	1	chembl_clinical		chembl_clinical
COL1A1	1	0	1	chembl_clinical		chembl_clinical
COL1A2	1	0	1	chembl_clinical		chembl_clinical
COL24A1	1	0	1	chembl_clinical		chembl_clinical
COL27A1	1	0	1	chembl_clinical		chembl_clinical
COL28A1	1	0	1	chembl_clinical		chembl_clinical
COL29A1	1	0	1	chembl_clinical		chembl_clinical
COL2A1	1	0	1	chembl_clinical		chembl_clinical
COL3A1	1	0	1	chembl_clinical		chembl_clinical
COL4A1	1	0	1	chembl_clinical		chembl_clinical
COL4A2	1	0	1	chembl_clinical		chembl_clinical
COL4A3	1	0	1	chembl_clinical		chembl_clinical
COL4A4	1	0	1	chembl_clinical		chembl_clinical
COL4A5	1	0	1	chembl_clinical		chembl_clinical
